,cat_5,cat_8,cat_14,typeOfFacility_LIMITED FOOD SERVICE CONVENIENCE OTHER,typeOfFacility_NO FEE LICENSE K12 SCHOOLS NON PROFIT,typeOfFacility_RESTAURANT MORE THAN 200 SEATS,categoryOfFacility_FAST FOOD LIMITED MENU,healthScore,googleRating
332,0,0,1,0,0,0,0,5,Low
333,1,1,1,0,0,0,0,3,High
334,1,1,0,1,0,0,0,4,Low
335,0,0,0,0,0,0,0,4,Low
336,1,0,1,0,0,0,1,4,High
337,1,1,0,0,0,0,0,3,High
338,1,1,0,0,0,0,0,3,Low
339,0,1,0,0,0,0,0,3,Low
340,1,1,1,0,0,0,0,3,Low
341,0,0,0,0,0,0,1,5,Low
342,1,0,0,0,0,0,1,5,Low
343,1,0,1,0,0,0,0,4,Low
344,0,1,1,0,0,0,0,4,High
345,1,1,1,0,0,0,1,3,Low
346,1,0,1,0,0,0,1,4,High
347,1,0,0,0,0,0,0,3,Low
348,0,1,0,0,0,0,0,4,Low
349,0,0,0,0,0,0,1,5,Low
350,1,0,1,0,0,0,1,4,Low
351,1,1,1,0,0,0,1,4,Low
352,1,0,1,0,0,0,1,5,Low
353,0,0,0,0,0,0,1,5,Low
354,1,1,0,0,0,0,1,4,Low
355,1,1,1,1,0,0,1,5,High
356,1,1,1,0,0,0,1,3,Low
357,1,0,1,0,0,0,0,4,High
358,1,0,0,0,0,0,1,5,Low
359,1,1,1,0,0,0,0,2,Low
360,1,1,1,0,0,0,0,3,Low
361,1,1,0,0,0,0,1,5,Low
362,0,0,1,0,0,0,1,5,Low
363,1,0,0,0,0,0,0,3,Low
364,0,1,1,0,0,0,0,3,Low
365,1,0,1,0,0,0,1,5,Low
366,1,1,1,0,0,0,0,4,Low
367,1,0,1,0,0,0,0,4,High
368,1,0,0,0,0,0,1,5,Low
369,1,1,1,0,0,0,0,4,Low
370,1,1,0,0,0,0,1,4,Low
371,0,1,0,0,0,0,1,5,Low
372,1,0,0,0,0,0,1,4,Low
373,1,1,0,0,0,0,1,5,Low
374,1,0,1,0,0,1,0,3,Low
375,0,0,0,0,0,0,1,4,Low
376,1,1,1,0,0,0,1,4,High
377,0,0,0,0,0,0,0,3,High
378,1,1,1,1,0,0,1,5,Low
379,1,1,1,0,0,0,0,3,Low
380,0,0,0,0,0,0,0,5,Low
381,0,0,0,0,0,0,1,4,High
382,0,0,0,0,0,0,1,3,Low
383,0,1,0,0,0,0,0,3,High
384,1,1,1,0,0,0,1,3,Low
385,1,1,1,0,0,0,0,5,Low
386,0,0,0,0,0,0,0,5,High
387,1,0,0,0,0,0,0,4,Low
388,1,0,1,0,0,0,0,5,Low
389,1,1,1,0,0,0,1,4,High
390,1,1,0,0,0,0,0,3,Low
391,1,1,0,0,0,0,1,4,Low
392,0,0,1,0,0,0,0,5,Low
393,0,0,0,0,0,0,1,5,High
394,1,0,1,0,0,0,1,2,Low
395,1,1,0,0,0,0,0,3,Low
396,1,1,0,0,0,0,0,3,Low
397,0,1,0,1,0,0,1,4,High
398,0,0,0,0,0,0,0,4,Low
399,0,0,0,0,0,0,1,5,Low
400,0,0,0,0,0,0,1,5,Low
401,1,0,1,0,0,0,1,4,Low
402,1,0,1,0,0,0,1,5,Low
403,0,1,1,0,0,0,0,4,Low
404,1,1,0,0,0,0,1,5,Low
405,0,0,0,0,0,0,0,4,Low
406,1,1,0,0,0,0,0,4,Low
407,1,0,0,0,0,0,0,5,Low
