,healthScore,cat_1,cat_2,cat_3,cat_5,cat_6,cat_7,cat_8,cat_9,cat_10,cat_12,cat_13,cat_14,googleRating,typeOfFacility_GROCERY STORE 0 TO 15000 SQ FT,typeOfFacility_GROCERY STORE W DELI 0 TO 15000 SQ FT,typeOfFacility_GROCERY STORE W DELI MORE THAN 15000 SQ FT,typeOfFacility_LIMITED FOOD SERVICE CONVENIENCE OTHER,typeOfFacility_MOBILE UNIT FULL FOOD SERVICE,typeOfFacility_NO FEE LICENSE K12 SCHOOLS NON PROFIT,typeOfFacility_RESTAURANT 0 TO 100 SEATS,typeOfFacility_RESTAURANT 101 TO 200 SEATS,typeOfFacility_RESTAURANT MORE THAN 200 SEATS,categoryOfFacility_BARS FRATERNAL ORGANIZATIONS,categoryOfFacility_FAST FOOD LIMITED MENU,categoryOfFacility_FULL MENU LIMITED SERVICE,categoryOfFacility_FULL SERVICE FULL MENU,categoryOfFacility_MOBILE UNITS,categoryOfFacility_RETAIL COMMISSARY
121,5,0,2,1,0,1,0,1,0,0,0,0,0,Low,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
122,5,0,0,0,1,1,0,0,0,0,1,0,1,Low,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
123,3,3,2,2,0,1,0,0,2,1,0,0,1,High,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
124,3,1,1,0,1,0,0,1,0,0,1,0,0,High,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
125,3,1,1,2,1,1,0,1,2,2,2,1,2,Low,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
126,4,0,1,1,1,0,1,0,0,0,1,0,0,High,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
127,4,0,3,1,2,1,0,0,0,1,1,0,0,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
128,4,1,1,1,0,1,0,0,0,0,1,0,0,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
129,4,3,2,2,0,2,0,1,1,0,0,0,0,Low,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
130,3,2,3,2,1,0,0,2,0,0,0,0,0,High,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
131,2,2,2,3,2,3,0,1,0,0,0,0,0,Low,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
132,3,1,2,1,0,1,0,0,0,1,0,0,0,Low,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
133,4,1,1,3,1,2,1,0,0,0,0,0,0,Low,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
134,5,1,0,0,1,0,0,0,1,0,2,0,0,Low,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
135,4,1,2,0,2,1,0,0,0,0,1,0,0,High,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
136,4,1,0,2,0,0,0,0,1,0,0,0,1,Low,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
137,3,3,4,2,1,1,0,1,0,0,0,0,0,Low,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
138,4,1,4,5,4,3,0,0,0,0,0,0,0,Low,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
139,2,1,2,3,1,0,0,1,0,0,2,0,1,Low,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
140,3,0,2,1,0,2,0,1,0,1,1,1,0,Low,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
141,5,0,1,1,0,0,0,0,0,0,1,0,0,High,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
142,4,1,3,3,0,0,1,1,1,0,0,0,1,Low,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
143,3,0,1,2,0,0,0,0,1,0,1,1,1,Low,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
