facility_id,fc01,fc02,fc03,fc04,fc05,fc06,fc08,fc09,fc10,fc11,fc13,fc14,fc15,fc16,fc18,fc19,fc20,fc21,fc22,fc23,fc24,fc25,fc27,fc28,fc29,fc31,fc33,fc35,fc36,fc37,fc38,fc39,fc40,fc41,fc42,fc43,fc44,fc45,fc46,fc47,fc48,fc49,fc50,fc51,fc52,fc53,fc54,fc55,fc56,fc57
FA0000291,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,1,1,,,,,,,1,1,
FA0000293,,,,,1,,2,2,2,,1,,,,,,1,,2,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,
FA0000295,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
FA0000303,,,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
FA0000304,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,
FA0000314,,,,,,2,,1,,,1,,1,,,,,1,1,,,2,,3,,,1,,2,,,,1,1,,,,,,1,2,,1,1,,,,2,,
FA0000326,,1,,,,2,,,2,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,
FA0000327,,,1,,,2,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,1,,,,
FA0000329,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA0000330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,
FA0000331,,,,,,2,,,3,,2,,1,,,,,,4,,,,,1,,,2,,,1,1,1,1,,,,,,,1,1,,1,,,,,1,1,
FA0000332,,,,,,2,,,,,,,,,,,,,2,,,2,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,
FA0000333,,,,,,,1,,,,,,1,1,,,,,2,,,,,,,,1,,1,,,,,,,,1,,,,2,,1,,,,,,1,
FA0000335,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
