facilityId,biz_status,rating,price_level,total_user_ratings
FA0000515,OPERATIONAL,4.7,2.0,113.0
FA0000973,OPERATIONAL,3.8,1.0,111.0
FA0000458,OPERATIONAL,4.3,1.0,269.0
FA0000818,OPERATIONAL,4.2,2.0,170.0
FA0000080,OPERATIONAL,4.6,2.0,1358.0
FA0003784,OPERATIONAL,4.3,2.0,335.0
FA0001055,OPERATIONAL,3.7,2.0,38.0
FA0000779,OPERATIONAL,3.8,2.0,49.0
FA0002502,OPERATIONAL,3.7,1.0,3587.0
FA0002505,OPERATIONAL,4.0,1.0,2462.0
FA0000751,OPERATIONAL,4.2,1.0,676.0
FA0000599,OPERATIONAL,4.3,2.0,1799.0
FA0000396,OPERATIONAL,4.6,1.0,481.0
FA0000109,OPERATIONAL,3.0,1.0,612.0
FA0001272,OPERATIONAL,4.3,1.0,354.0
FA0005301,OPERATIONAL,4.7,2.0,201.0
FA0002492,OPERATIONAL,4.6,2.0,380.0
FA0003585,OPERATIONAL,4.6,2.0,288.0
FA0001233,OPERATIONAL,3.2,1.0,27.0
FA0000419,OPERATIONAL,4.3,1.0,628.0
FA0002374,OPERATIONAL,2.5,2.0,77.0
FA0001091,OPERATIONAL,3.9,1.0,896.0
FA0004975,OPERATIONAL,4.6,1.0,523.0
FA0001550,OPERATIONAL,4.3,1.0,557.0
FA0005386,OPERATIONAL,4.5,2.0,876.0
FA0001343,OPERATIONAL,4.3,2.0,308.0
FA0000245,OPERATIONAL,4.8,1.0,1421.0
FA0000466,OPERATIONAL,4.1,1.0,568.0
FA0001347,OPERATIONAL,4.5,2.0,600.0
FA0004835,OPERATIONAL,4.5,2.0,433.0
FA0002925,OPERATIONAL,4.8,2.0,77.0
FA0002416,OPERATIONAL,4.6,1.0,263.0
FA0004977,OPERATIONAL,4.2,2.0,408.0
FA0000605,OPERATIONAL,4.6,1.0,174.0
FA0002882,OPERATIONAL,4.7,1.0,93.0
FA0000863,OPERATIONAL,4.2,1.0,571.0
FA0001336,OPERATIONAL,4.2,2.0,512.0
FA0002873,OPERATIONAL,4.5,1.0,186.0
FA0000925,OPERATIONAL,4.2,1.0,310.0
FA0003050,OPERATIONAL,4.1,2.0,410.0
FA0002939,OPERATIONAL,4.4,2.0,1217.0
FA0003257,OPERATIONAL,4.5,2.0,913.0
FA0000064,OPERATIONAL,4.2,2.0,295.0
FA0000535,OPERATIONAL,4.3,1.0,297.0
FA0002759,OPERATIONAL,4.6,1.0,696.0
FA0000486,OPERATIONAL,4.5,2.0,2352.0
FA0000113,OPERATIONAL,2.8,1.0,404.0
FA0000642,OPERATIONAL,3.5,1.0,1088.0
FA0001186,OPERATIONAL,3.5,1.0,778.0
FA0000500,OPERATIONAL,4.2,2.0,1235.0
FA0000164,OPERATIONAL,4.3,2.0,928.0
FA0000803,OPERATIONAL,3.7,1.0,152.0
FA0000721,OPERATIONAL,4.2,2.0,861.0
FA0005038,OPERATIONAL,4.4,1.0,177.0
FA0003806,OPERATIONAL,2.9,1.0,247.0
FA0000628,OPERATIONAL,4.2,2.0,1453.0
FA0000279,OPERATIONAL,3.1,1.0,1009.0
FA0000017,OPERATIONAL,4.3,2.0,109.0
FA0003722,OPERATIONAL,4.6,1.0,292.0
FA0002133,OPERATIONAL,4.6,1.0,536.0
FA0000445,OPERATIONAL,4.3,1.0,1351.0
FA0005072,OPERATIONAL,3.9,2.0,194.0
FA0002868,OPERATIONAL,4.5,2.0,807.0
FA0000657,OPERATIONAL,3.7,1.0,260.0
FA0003606,OPERATIONAL,4.6,3.0,1181.0
FA0001614,OPERATIONAL,4.5,2.0,876.0
FA0001292,OPERATIONAL,4.0,1.0,534.0
FA0004833,OPERATIONAL,3.1,2.0,30.0
FA0002758,OPERATIONAL,4.6,2.0,583.0
FA0003599,OPERATIONAL,4.4,2.0,279.0
FA0000931,OPERATIONAL,4.6,2.0,875.0
FA0005408,OPERATIONAL,4.1,1.0,322.0
FA0002178,OPERATIONAL,4.5,1.0,566.0
FA0002287,OPERATIONAL,4.5,1.0,760.0
FA0000185,OPERATIONAL,3.7,1.0,85.0
FA0001623,CLOSED_TEMPORARILY,4.5,2.0,237.0
FA0000326,OPERATIONAL,4.6,1.0,416.0
FA0000278,OPERATIONAL,4.3,1.0,1185.0
FA0001161,OPERATIONAL,3.3,1.0,103.0
FA0000821,OPERATIONAL,4.7,1.0,194.0
FA0000493,OPERATIONAL,4.2,1.0,427.0
FA0002839,OPERATIONAL,4.6,1.0,310.0
FA0002701,OPERATIONAL,4.7,2.0,717.0
FA0000886,OPERATIONAL,4.4,1.0,509.0
FA0004638,OPERATIONAL,4.6,2.0,1364.0
FA0004897,OPERATIONAL,4.2,2.0,667.0
FA0003769,OPERATIONAL,4.1,2.0,920.0
FA0004519,OPERATIONAL,4.7,1.0,718.0
FA0000399,OPERATIONAL,4.6,1.0,341.0
FA0000738,OPERATIONAL,4.3,2.0,1553.0
FA0003737,OPERATIONAL,4.6,2.0,332.0
FA0001288,OPERATIONAL,4.4,2.0,1217.0
FA0000133,OPERATIONAL,4.0,1.0,71.0
FA0000033,OPERATIONAL,3.7,1.0,1210.0
FA0000135,OPERATIONAL,4.5,3.0,864.0
FA0002629,OPERATIONAL,4.3,2.0,67.0
FA0002284,OPERATIONAL,3.8,2.0,543.0
FA0000106,OPERATIONAL,4.3,2.0,345.0
FA0000843,OPERATIONAL,3.4,1.0,706.0
FA0003324,OPERATIONAL,4.3,1.0,269.0
FA0004625,OPERATIONAL,4.9,1.0,22.0
FA0001088,OPERATIONAL,4.4,2.0,762.0
FA0002755,OPERATIONAL,4.9,1.0,22.0
FA0000230,OPERATIONAL,4.7,1.0,506.0
FA0001253,OPERATIONAL,4.1,2.0,1241.0
FA0000547,OPERATIONAL,4.5,2.0,283.0
FA0000951,OPERATIONAL,4.4,2.0,1062.0
FA0000474,OPERATIONAL,4.7,1.0,1101.0
FA0003703,OPERATIONAL,4.6,1.0,436.0
FA0005283,OPERATIONAL,4.8,1.0,402.0
FA0005421,OPERATIONAL,4.8,2.0,1375.0
FA0004652,OPERATIONAL,4.3,1.0,284.0
FA0004821,OPERATIONAL,3.6,1.0,329.0
FA0003485,OPERATIONAL,4.6,2.0,781.0
FA0001077,OPERATIONAL,4.6,2.0,1613.0
FA0001074,OPERATIONAL,4.5,3.0,903.0
FA0002689,OPERATIONAL,4.7,1.0,154.0
FA0000360,OPERATIONAL,4.5,1.0,281.0
FA0000672,OPERATIONAL,3.6,1.0,181.0
FA0002719,OPERATIONAL,4.1,2.0,189.0
FA0001002,OPERATIONAL,4.7,1.0,303.0
FA0001126,OPERATIONAL,4.8,2.0,64.0
FA0003350,OPERATIONAL,3.9,2.0,378.0
FA0001624,OPERATIONAL,4.3,1.0,628.0
FA0005088,OPERATIONAL,3.9,2.0,685.0
FA0000031,OPERATIONAL,3.7,1.0,622.0
FA0000579,OPERATIONAL,3.7,1.0,175.0
FA0003785,OPERATIONAL,4.1,1.0,223.0
FA0002745,OPERATIONAL,4.4,1.0,146.0
FA0001003,OPERATIONAL,3.2,1.0,246.0
FA0001242,OPERATIONAL,4.6,3.0,678.0
FA0003536,OPERATIONAL,4.3,1.0,204.0
FA0001286,OPERATIONAL,4.1,2.0,480.0
FA0002891,OPERATIONAL,4.3,1.0,211.0
FA0001183,OPERATIONAL,4.7,1.0,878.0
FA0001447,OPERATIONAL,3.9,1.0,184.0
FA0000473,OPERATIONAL,4.8,2.0,267.0
FA0002343,OPERATIONAL,4.5,2.0,290.0
FA0005073,OPERATIONAL,4.6,2.0,422.0
FA0002609,OPERATIONAL,4.5,2.0,407.0
FA0000421,CLOSED_PERMANENTLY,4.4,2.0,158.0
FA0000881,OPERATIONAL,4.7,1.0,651.0
FA0000347,OPERATIONAL,4.7,2.0,471.0
FA0004941,OPERATIONAL,4.4,2.0,623.0
FA0000783,OPERATIONAL,4.4,2.0,798.0
FA0001327,OPERATIONAL,4.2,2.0,295.0
FA0000677,OPERATIONAL,4.2,2.0,297.0
FA0000218,OPERATIONAL,2.9,1.0,26.0
FA0005008,OPERATIONAL,4.2,2.0,297.0
FA0001444,OPERATIONAL,4.7,3.0,541.0
FA0000147,OPERATIONAL,4.5,1.0,379.0
FA0000257,OPERATIONAL,3.8,2.0,125.0
FA0001257,OPERATIONAL,4.4,2.0,314.0
FA0001732,OPERATIONAL,4.7,2.0,1490.0
FA0001641,OPERATIONAL,4.1,1.0,299.0
FA0000411,OPERATIONAL,4.5,2.0,468.0
FA0005390,OPERATIONAL,4.6,1.0,437.0
FA0000371,OPERATIONAL,4.4,2.0,124.0
FA0001290,OPERATIONAL,4.6,1.0,117.0
FA0002680,OPERATIONAL,4.1,3.0,872.0
FA0002750,CLOSED_TEMPORARILY,4.2,1.0,107.0
FA0001549,OPERATIONAL,4.6,1.0,455.0
FA0000422,OPERATIONAL,2.9,2.0,14.0
FA0003487,OPERATIONAL,4.5,2.0,1160.0
FA0000436,OPERATIONAL,4.6,4.0,487.0
FA0001191,OPERATIONAL,4.4,2.0,643.0
FA0005063,OPERATIONAL,4.3,1.0,153.0
FA0001198,OPERATIONAL,3.8,1.0,586.0
FA0001542,OPERATIONAL,4.0,1.0,33.0
FA0004787,OPERATIONAL,4.5,2.0,786.0
FA0001515,OPERATIONAL,4.3,2.0,137.0
FA0002245,OPERATIONAL,4.6,2.0,361.0
FA0003857,OPERATIONAL,3.8,2.0,302.0
FA0000624,OPERATIONAL,4.7,1.0,1101.0
FA0003307,OPERATIONAL,3.5,1.0,263.0
FA0005418,OPERATIONAL,3.3,1.0,576.0
FA0000011,OPERATIONAL,4.3,1.0,119.0
FA0001291,OPERATIONAL,4.3,2.0,352.0
FA0000995,OPERATIONAL,4.3,1.0,272.0
FA0000098,OPERATIONAL,3.7,1.0,192.0
FA0002294,OPERATIONAL,4.1,1.0,217.0
FA0002393,OPERATIONAL,3.8,1.0,44.0
FA0000182,OPERATIONAL,4.3,1.0,125.0
FA0000997,OPERATIONAL,4.2,1.0,263.0
FA0000758,OPERATIONAL,3.7,2.0,432.0
FA0004745,OPERATIONAL,3.8,2.0,125.0
FA0001662,OPERATIONAL,4.5,2.0,1019.0
FA0001294,OPERATIONAL,4.2,1.0,622.0
FA0002132,OPERATIONAL,4.3,2.0,447.0
FA0000675,OPERATIONAL,4.5,2.0,3357.0
FA0004883,OPERATIONAL,4.6,3.0,431.0
FA0004907,OPERATIONAL,3.9,2.0,1070.0
FA0005151,OPERATIONAL,4.4,2.0,230.0
FA0002704,OPERATIONAL,4.3,1.0,258.0
FA0002668,OPERATIONAL,3.9,1.0,686.0
FA0000234,OPERATIONAL,4.5,2.0,355.0
FA0004500,OPERATIONAL,4.3,2.0,720.0
FA0005381,OPERATIONAL,4.3,2.0,113.0
FA0004996,OPERATIONAL,4.7,1.0,733.0
FA0003814,OPERATIONAL,3.3,2.0,9.0
FA0000909,OPERATIONAL,4.2,2.0,1049.0
FA0002697,OPERATIONAL,3.2,1.0,588.0
FA0004872,OPERATIONAL,4.7,1.0,246.0
FA0004848,OPERATIONAL,4.3,2.0,906.0
FA0000331,OPERATIONAL,4.3,1.0,1008.0
FA0000387,OPERATIONAL,4.3,2.0,504.0
FA0001585,OPERATIONAL,4.7,2.0,378.0
FA0003813,OPERATIONAL,4.8,1.0,354.0
FA0002513,OPERATIONAL,2.9,1.0,189.0
FA0002449,OPERATIONAL,3.8,1.0,44.0
FA0003821,OPERATIONAL,4.4,1.0,205.0
FA0002840,OPERATIONAL,4.2,2.0,236.0
FA0000768,OPERATIONAL,3.8,2.0,64.0
FA0000847,OPERATIONAL,3.0,1.0,523.0
FA0002471,OPERATIONAL,3.7,1.0,598.0
FA0004846,OPERATIONAL,4.3,1.0,1588.0
FA0004661,OPERATIONAL,4.5,2.0,202.0
FA0002435,OPERATIONAL,3.8,2.0,373.0
FA0000670,OPERATIONAL,4.4,2.0,729.0
FA0002108,OPERATIONAL,3.8,1.0,197.0
FA0000613,OPERATIONAL,4.2,1.0,188.0
FA0004960,OPERATIONAL,4.4,1.0,1541.0
FA0002168,OPERATIONAL,4.1,2.0,1083.0
FA0000764,OPERATIONAL,4.1,2.0,48.0
FA0003811,OPERATIONAL,4.8,2.0,2223.0
FA0002297,OPERATIONAL,4.5,1.0,188.0
FA0000115,OPERATIONAL,3.1,1.0,625.0
FA0000594,OPERATIONAL,4.0,2.0,240.0
FA0001202,OPERATIONAL,4.2,1.0,695.0
FA0005198,CLOSED_PERMANENTLY,5.0,2.0,5.0
FA0000372,OPERATIONAL,4.6,3.0,603.0
FA0001084,OPERATIONAL,4.5,2.0,2034.0
FA0000830,OPERATIONAL,4.5,2.0,821.0
