city,facility_name,facility_name_plus,facility_id,rating,total_ratings,avg_inspection_score,avg_violations_count
BOULDER,SPRUCE CONFECTIONS,BOULDER - SPRUCE CONFECTIONS,FA0002297,4.5,188,41.00,3.0
BOULDER,SPRUCE FARM,BOULDER - SPRUCE FARM,FA0000678,4.2,351,47.50,2.6666666666666665
BOULDER,ST JULIEN HOTEL AND SPA,BOULDER - ST JULIEN HOTEL AND SPA,FA0002339,4.3,352,83.33,6.333333333333333
BOULDER,STARBUCKS 21402,BOULDER - STARBUCKS 21402,FA0003742,4.2,197,11.00,2.0
BOULDER,STARBUCKS COFFEE 10857,BOULDER - STARBUCKS COFFEE 10857,FA0000629,4.1,302,5.00,1.0
BOULDER,STARBUCKS COFFEE 246,BOULDER - STARBUCKS COFFEE 246,FA0001055,3.7,38,7.50,1.0
BOULDER,STEAKHOUSE 316,BOULDER - STEAKHOUSE 316,FA0000225,4.6,206,23.33,3.0
BOULDER,SUBWAY,BOULDER - SUBWAY,FA0001169,3.8,155,39.27,5.0
BOULDER,SUBWAY #17932 @ UMC  (CU),BOULDER - SUBWAY #17932 @ UMC  (CU),FA0000808,3.4,27,11.00,2.333333333333333
BOULDER,SUBWAY #34537,BOULDER - SUBWAY #34537,FA0000240,3.7,91,20.91,3.0
BOULDER,SUBWAY #6752,BOULDER - SUBWAY #6752,FA0001168,3.9,61,16.00,2.0
BOULDER,SUBWAY 11652,BOULDER - SUBWAY 11652,FA0000803,3.7,152,22.50,2.6666666666666665
BOULDER,SUNDOWN SALOON,BOULDER - SUNDOWN SALOON,FA0000923,4.1,323,18.33,1.5
BOULDER,SUR LA TABLE,BOULDER - SUR LA TABLE,FA0003584,3.7,41,5.00,1.0
BOULDER,SUSHI HANA,BOULDER - SUSHI HANA,FA0000416,3.4,87,74.74,6.5
BOULDER,SUSHI ZANMAI,BOULDER - SUSHI ZANMAI,FA0000830,4.5,821,13.00,1.5
BOULDER,SWEET COW,BOULDER - SWEET COW,FA0004519,4.7,718,20.33,1.5
BOULDER,SWEET COW,BOULDER - SWEET COW,FA0004735,4.8,402,37.75,2.0
BOULDER,TACO BELL #33852,BOULDER - TACO BELL #33852,FA0000847,3.0,523,7.50,1.0
BOULDER,TACO BELL #33866,BOULDER - TACO BELL #33866,FA0000840,2.9,618,13.33,1.0
BOULDER,TACO BOULDER,BOULDER - TACO BOULDER,FA0000611,4.5,1401,141.90,9.666666666666666
BOULDER,TACO JUNKY,BOULDER - TACO JUNKY,FA0000536,3.8,153,38.00,4.0
BOULDER,TADKA INDIAN CUISINE,BOULDER - TADKA INDIAN CUISINE,FA0000754,4.7,588,61.45,3.6666666666666665
BOULDER,TAJ RESTAURANT,BOULDER - TAJ RESTAURANT,FA0000887,4.4,611,44.00,3.333333333333333
BOULDER,TANDOORI GRILL,BOULDER - TANDOORI GRILL,FA0000838,4.5,414,21.00,2.5
BOULDER,TANGERINE,BOULDER - TANGERINE,FA0003535,4.3,578,39.13,3.6666666666666665
BOULDER,TARGET STORE 64,BOULDER - TARGET STORE 64,FA0000851,3.9,863,21.67,2.0
BOULDER,TASUKI,BOULDER - TASUKI,FA0001060,4.6,288,56.95,9.5
BOULDER,THAI AVENUE,BOULDER - THAI AVENUE,FA0000898,4.3,113,55.00,4.333333333333333
BOULDER,THRIVE,BOULDER - THRIVE,FA0000347,4.7,471,19.72,4.5
BOULDER,TIBET KITCHEN,BOULDER - TIBET KITCHEN,FA0002178,4.5,566,51.00,4.25
BOULDER,TIERRA Y FUEGO TAQUERIA,BOULDER - TIERRA Y FUEGO TAQUERIA,FA0002416,4.6,263,44.21,4.666666666666667
BOULDER,TIFFIN WALLAH,BOULDER - TIFFIN WALLAH,FA0003565,4.1,495,75.87,7.5
BOULDER,TIP TOP SAVORY PIES,BOULDER - TIP TOP SAVORY PIES,FA0000667,4.6,68,50.00,5.333333333333333
BOULDER,TODS ESPRESSO CAFE,BOULDER - TODS ESPRESSO CAFE,FA0003472,4.3,170,17.50,1.5
BOULDER,TONIC ALCHEMY LOUNGE,BOULDER - TONIC ALCHEMY LOUNGE,FA0000962,4.6,159,5.00,1.0
BOULDER,TRIDENT CAFE,BOULDER - TRIDENT CAFE,FA0001076,4.7,893,20.21,4.666666666666667
BOULDER,TSING TAO,BOULDER - TSING TAO,FA0001086,4.1,335,46.43,4.666666666666667
BOULDER,TUNE UP AT FULL CYCLE,BOULDER - TUNE UP AT FULL CYCLE,FA0001017,4.7,37,10.67,1.5
BOULDER,TWISTED PINE BREWING COMPANY,BOULDER - TWISTED PINE BREWING COMPANY,FA0001237,4.5,523,34.50,3.333333333333333
BOULDER,TWO HANDS MOBILE KITCHEN,BOULDER - TWO HANDS MOBILE KITCHEN,FA0003857,3.8,302,52.80,4.0
BOULDER,UCAR,BOULDER - UCAR,FA0001260,5.0,2,50.00,3.0
BOULDER,UCAR,BOULDER - UCAR,FA0001270,4.6,179,24.00,3.0
BOULDER,UNDER THE SUN EATERY & TAPHOUSE,BOULDER - UNDER THE SUN EATERY & TAPHOUSE,FA0000017,4.3,109,25.00,2.0
BOULDER,VERDE,BOULDER - VERDE,FA0001191,4.4,643,95.03,7.25
BOULDER,VICS AGAIN,BOULDER - VICS AGAIN,FA0000973,3.8,111,21.67,3.333333333333333
BOULDER,VILLAGE COFFEE SHOP,BOULDER - VILLAGE COFFEE SHOP,FA0001014,4.7,1147,26.54,4.333333333333333
BOULDER,VINA PHO AND GRILL,BOULDER - VINA PHO AND GRILL,FA0000790,4.2,419,47.09,3.6666666666666665
BOULDER,VITALITY BOWLS,BOULDER - VITALITY BOWLS,FA0001195,4.2,89,28.75,2.0
BOULDER,WAFFLE LAB THE,BOULDER - WAFFLE LAB THE,FA0003562,4.0,30,22.62,4.0
BOULDER,WAHOOS FISH TACO,BOULDER - WAHOOS FISH TACO,FA0001036,4.4,445,40.91,2.6666666666666665
BOULDER,WAPOS,BOULDER - WAPOS,FA0000886,4.4,509,62.08,3.5
BOULDER,WENDYS 11318,BOULDER - WENDYS 11318,FA0000031,3.7,622,8.33,1.0
BOULDER,WENDYS 4787,BOULDER - WENDYS 4787,FA0001198,3.8,586,34.14,2.333333333333333
BOULDER,WEST END TAVERN,BOULDER - WEST END TAVERN,FA0001200,4.4,1471,69.06,3.0
BOULDER,WHEEL & WHISK THE (MOBILE),BOULDER - WHEEL & WHISK THE (MOBILE),FA0003891,3.8,302,37.00,2.5
BOULDER,WHOLE SOL BLEND BAR,BOULDER - WHOLE SOL BLEND BAR,FA0005449,4.1,242,30.00,4.0
BOULDER,WOK TO FLATIRONS DELI,BOULDER - WOK TO FLATIRONS DELI,FA0000337,4.0,98,50.00,3.0
BOULDER,WONDER PRESS,BOULDER - WONDER PRESS,FA0003599,4.4,279,6.50,1.0
BOULDER,WONDER PRESS COMMISSARY,BOULDER - WONDER PRESS COMMISSARY,FA0005012,4.4,279,25.00,5.0
BOULDER,WOOD GRAIN BAGELS,BOULDER - WOOD GRAIN BAGELS,FA0003541,4.2,369,55.22,5.75
